date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:35	77549/77549	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:36%20GMT	https://www.imagetotext.io/jpg-to-pdf	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/jpg-to-pdf.html	(from https://www.imagetotext.io/)
14:16:35	24438/24438	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:36%20GMT	https://www.imagetotext.io/pricing-plan	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/pricing-plan.html	(from https://www.imagetotext.io/)
14:16:35	1208/1208	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224b8-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/nav-pricing-img.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/nav-pricing-img.svg	(from https://www.imagetotext.io/)
14:16:35	606/606	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2225e-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/login-btn-img.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/login-btn-img.svg	(from https://www.imagetotext.io/)
14:16:36	7964/7964	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f1c-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/en.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/en.svg	(from https://www.imagetotext.io/)
14:16:36	219/219	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22db-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/dropdown.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/dropdown.svg	(from https://www.imagetotext.io/)
14:16:36	194854/194854	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f926-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/es.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/es.svg	(from https://www.imagetotext.io/)
14:16:36	704/704	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222c0-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/id.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/id.svg	(from https://www.imagetotext.io/)
14:16:37	867/867	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22363-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/da.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/da.svg	(from https://www.imagetotext.io/)
14:16:37	724/724	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d4-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/de.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/de.svg	(from https://www.imagetotext.io/)
14:16:37	679/679	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222a7-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/fr.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/fr.svg	(from https://www.imagetotext.io/)
14:16:37	922/922	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2239a-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/it.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/it.svg	(from https://www.imagetotext.io/)
14:16:37	757/757	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f5-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/pl.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/pl.svg	(from https://www.imagetotext.io/)
14:16:38	871/871	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22367-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/ro.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/ro.svg	(from https://www.imagetotext.io/)
14:16:38	892/892	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237c-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/sv.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/sv.svg	(from https://www.imagetotext.io/)
14:16:38	879/879	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2236f-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/cs.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/cs.svg	(from https://www.imagetotext.io/)
14:16:38	830/830	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2233e-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/ru.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/ru.svg	(from https://www.imagetotext.io/)
14:16:39	860/860	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2235c-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/th.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/th.svg	(from https://www.imagetotext.io/)
14:16:39	1555/1555	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22613-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/ko.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/ko.svg	(from https://www.imagetotext.io/)
14:16:39	1493/1493	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d5-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/ch.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/ch.svg	(from https://www.imagetotext.io/)
14:16:39	130720/130720	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221fea0-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/lang-img/pt.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/lang-img/pt.svg	(from https://www.imagetotext.io/)
14:16:39	2599/2599	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a27-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/logo.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/logo.svg	(from https://www.imagetotext.io/)
14:16:40	2340/2340	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22924-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/login-icon.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/login-icon.svg	(from https://www.imagetotext.io/)
14:16:42	20758/20758	---M--	200	added ('OK')	image/png	etag:%225116-61ad422b7fc8a%22	https://www.imagetotext.io/web_assets/frontend/img/tool-upload-img.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/tool-upload-img.png	(from https://www.imagetotext.io/)
14:16:42	82529/82529	---M-Z	200	added ('OK')	application/javascript	etag:W/%22929e778916751b2afcea980abaa44230%22	https://cdn.livechatinc.com/tracking.js	C:/My%20Web%20Sites/shoibwebproject/cdn.livechatinc.com/tracking.js	(from https://www.imagetotext.io/)
14:16:42	25035/25035	---M--	200	added ('OK')	image/gif	etag:%2261cb-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/imagetotext_io.gif	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/imagetotext_io.gif	(from https://www.imagetotext.io/)
14:16:42	4622/4622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22120e-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/icon/right-plan-img.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/icon/right-plan-img.svg	(from https://www.imagetotext.io/)
14:16:42	555/555	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2222b-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/icon/plan-tick-icon.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/icon/plan-tick-icon.svg	(from https://www.imagetotext.io/)
14:16:43	1990/1990	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227c6-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/emoji1.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/emoji1.svg	(from https://www.imagetotext.io/)
14:16:43	2135/2135	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22857-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/emoji2.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/emoji2.svg	(from https://www.imagetotext.io/)
14:16:44	2005/2005	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227d5-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/emoji3.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/emoji3.svg	(from https://www.imagetotext.io/)
14:16:44	3516/3516	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dbc-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/emoji4.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/emoji4.svg	(from https://www.imagetotext.io/)
14:16:44	3845/3845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f05-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/emoji5.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/emoji5.svg	(from https://www.imagetotext.io/)
14:16:44	19827/19827	---M--	200	added ('OK')	image/png	etag:%224d73-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/plan-section1-img.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/plan-section1-img.png	(from https://www.imagetotext.io/)
14:16:44	287/287	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211f-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/plan-section2-img.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/plan-section2-img.svg	(from https://www.imagetotext.io/)
14:16:45	1655/1655	---M--	200	added ('OK')	image/png	etag:%22677-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/jpg-to-word.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/jpg-to-word.png	(from https://www.imagetotext.io/)
14:16:45	1638/1638	---M--	200	added ('OK')	image/png	etag:%22666-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/pdf-to-word.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/pdf-to-word.png	(from https://www.imagetotext.io/)
14:16:45	1598/1598	---M--	200	added ('OK')	image/png	etag:%2263e-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/jpg-to-pdf.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/jpg-to-pdf.png	(from https://www.imagetotext.io/)
14:16:47	57566/57566	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:48%20GMT	https://www.imagetotext.io/pdf-to-text	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/pdf-to-text.html	(from https://www.imagetotext.io/)
14:16:47	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/pdf-to-text.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/pdf-to-text.png	(from https://www.imagetotext.io/)
14:16:48	58223/58223	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:48%20GMT	https://www.imagetotext.io/invert-image	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/invert-image.html	(from https://www.imagetotext.io/)
14:16:48	1610/1610	---M--	200	added ('OK')	image/png	etag:%2264a-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/invert-image.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/invert-image.png	(from https://www.imagetotext.io/)
14:16:48	49971/49971	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:49%20GMT	https://www.imagetotext.io/text-to-word	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/text-to-word.html	(from https://www.imagetotext.io/)
14:16:48	1359/1359	---M--	200	added ('OK')	image/png	etag:%2254f-61ad422b7fc8a%22	https://www.imagetotext.io/web_assets/frontend/img/text-to-word.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/text-to-word.png	(from https://www.imagetotext.io/)
14:16:49	50693/50693	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:50%20GMT	https://www.imagetotext.io/text-to-pdf	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/text-to-pdf.html	(from https://www.imagetotext.io/)
14:16:49	1258/1258	---M--	200	added ('OK')	image/png	etag:%224ea-61ad422b7ecea%22	https://www.imagetotext.io/web_assets/frontend/img/text-to-pdf.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/text-to-pdf.png	(from https://www.imagetotext.io/)
14:16:50	55212/55212	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:50%20GMT	https://www.imagetotext.io/word-to-text	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/word-to-text.html	(from https://www.imagetotext.io/)
14:16:50	1515/1515	---M--	200	added ('OK')	image/png	etag:%225eb-61ad422b7fc8a%22	https://www.imagetotext.io/web_assets/frontend/img/word-to-text.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/word-to-text.png	(from https://www.imagetotext.io/)
14:16:50	52352/52352	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:51%20GMT	https://www.imagetotext.io/text-to-image	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/text-to-image.html	(from https://www.imagetotext.io/)
14:16:50	1276/1276	---M--	200	added ('OK')	image/png	etag:%224fc-61ad422b7ecea%22	https://www.imagetotext.io/web_assets/frontend/img/text-to-image.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/text-to-image.png	(from https://www.imagetotext.io/)
14:16:51	55140/55140	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:52%20GMT	https://www.imagetotext.io/photo-translate	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/photo-translate.html	(from https://www.imagetotext.io/)
14:16:51	1276/1276	---M--	200	added ('OK')	image/png	etag:%224fc-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/photo-translate.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/photo-translate.png	(from https://www.imagetotext.io/)
14:16:51	1133/1133	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2246d-61ad422b77f88%22	https://www.imagetotext.io/web_assets/frontend/img/Step1.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/Step1.svg	(from https://www.imagetotext.io/)
14:16:51	737/737	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222e1-61ad422b77f88%22	https://www.imagetotext.io/web_assets/frontend/img/Step2.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/Step2.svg	(from https://www.imagetotext.io/)
14:16:52	1709/1709	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226ad-61ad422b77f88%22	https://www.imagetotext.io/web_assets/frontend/img/Step3.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/Step3.svg	(from https://www.imagetotext.io/)
14:16:52	633/633	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22279-610287991f263%22	https://www.imagetotext.io/storage/2023/May/downlaod_31.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/storage/2023/May/downlaod_31.svg	(from https://www.imagetotext.io/)
14:16:52	822/822	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22336-6102879917563%22	https://www.imagetotext.io/storage/2023/May/copy_2.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/storage/2023/May/copy_2.svg	(from https://www.imagetotext.io/)
14:16:52	35229/35229	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:53%20GMT	https://www.imagetotext.io/blog/optical-character-recognition	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/blog/optical-character-recognition.html	(from https://www.imagetotext.io/)
14:16:53	27652/27652	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:54%20GMT	https://www.imagetotext.io/blog/Google-Lens-And-How-It-Belongs-to-OCR-Technology	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/blog/Google-Lens-And-How-It-Belongs-to-OCR-Technology.html	(from https://www.imagetotext.io/)
14:16:53	632/632	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22278-61ad422b7dd4a%22	https://www.imagetotext.io/web_assets/frontend/img/right-arrow.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/right-arrow.svg	(from https://www.imagetotext.io/)
14:16:53	321629/321629	---M--	200	added ('OK')	image/png	etag:%224e85d-61503a5b74f32%22	https://www.imagetotext.io/storage/2024/Apr/OCR_1.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/storage/2024/Apr/OCR_1.png	(from https://www.imagetotext.io/)
14:16:53	27149/27149	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:54%20GMT	https://www.imagetotext.io/blog/tips-to-Convert-PDF-to-the-Text-file	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/blog/tips-to-Convert-PDF-to-the-Text-file.html	(from https://www.imagetotext.io/)
14:16:54	12347/12347	---M--	200	added ('OK')	image/png	etag:%22303b-610287a494d1b%22	https://www.imagetotext.io/storage/2023/Apr/TipstoConvertPDFtotheTextfile_71.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/storage/2023/Apr/TipstoConvertPDFtotheTextfile_71.png	(from https://www.imagetotext.io/)
14:16:54	27507/27507	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2009:16:55%20GMT	https://www.imagetotext.io/blog/Turn-Images-into-Text-in-Three-Easy-Steps	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/blog/Turn-Images-into-Text-in-Three-Easy-Steps.html	(from https://www.imagetotext.io/)
14:16:54	14101/14101	---M--	200	added ('OK')	image/png	etag:%223715-610287ab14ecc%22	https://www.imagetotext.io/storage/2023/Apr/TurnImagesintoTextinThreeEasySteps_97.png	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/storage/2023/Apr/TurnImagesintoTextinThreeEasySteps_97.png	(from https://www.imagetotext.io/)
14:16:55	13302/13302	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2233f6-61ad422b78f29%22	https://www.imagetotext.io/web_assets/frontend/img/feed-success-modal-img.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/feed-success-modal-img.svg	(from https://www.imagetotext.io/)
14:16:55	12185/12185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f99-61ad422b79ec9%22	https://www.imagetotext.io/web_assets/frontend/img/limit-increae.svg	C:/My%20Web%20Sites/shoibwebproject/www.imagetotext.io/web_assets/frontend/img/limit-increae.svg	(from https://www.imagetotext.io/)
14:16:55	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Jul%202024%2009:16:56%20GMT	https://challenges.cloudflare.com/turnstile/v0/api.js?render=explicit	C:/My%20Web%20Sites/shoibwebproject/challenges.cloudflare.com/turnstile/v0/api.5ab091.delayed	(from https://www.imagetotext.io/)
